Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Bangaon,18.91690585,SHANTANU THAKUR,Bharatiya Janata Party,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,318317.3818,Result Declared
Banka,18.91833417,GIRIDHARI YADAV,Janata Dal (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,318841.4532,Result Declared
Bankura,18.91976249,ARUP CHAKRABORTY,All India Trinamool Congress,DR. SUBHAS SARKAR,Bharatiya Janata Party,319365.5247,Result Declared
Bansgaon,18.92119081,KAMLESH PASWAN,Bharatiya Janata Party,SADAL PRASAD,Indian National Congress,319889.5961,Result Declared
Bapatla (SC),18.92261913,KRISHNA PRASAD TENNETI,Telugu Desam,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,320413.6676,Result Declared
Barabanki,18.92404745,TANUJ PUNIA,Indian National Congress,RAJRANI RAWAT,Bharatiya Janata Party,320937.739,Result Declared
Baramati,18.92547577,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,321461.8105,Result Declared
Barasat,18.92690408,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,SWAPAN MAJUMDER,Bharatiya Janata Party,321985.882,Result Declared
Bardhaman Purba,18.9283324,DR. SHARMILA SARKAR,All India Trinamool Congress,ASIM KUMAR SARKAR,Bharatiya Janata Party,322509.9534,Result Declared
Bardhaman-Durgapur,18.92976072,AZAD KIRTI JHA,All India Trinamool Congress,DILIP GHOSH,Bharatiya Janata Party,323034.0249,Result Declared
Bardoli,18.93118904,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,323558.0963,Result Declared
Bareilly,18.93261736,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,PRAVEEN SINGH ARON,Samajwadi Party,324082.1678,Result Declared
Bargarh,18.93404568,PRADEEP PUROHIT,Bharatiya Janata Party,PARINITA MISHRA,Biju Janata Dal,324606.2392,Result Declared
Barpeta,18.935474,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,DEEP BAYAN,Indian National Congress,325130.3107,Result Declared
Barrackpur,18.93690232,PARTHA BHOWMICK,All India Trinamool Congress,ARJUN SINGH,Bharatiya Janata Party,325654.3821,Result Declared
Basirhat,18.93833064,SK NURUL ISLAM,All India Trinamool Congress,REKHA PATRA,Bharatiya Janata Party,326178.4536,Result Declared
Basti,18.93975895,RAM PRASAD CHAUDHARY,Samajwadi Party,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,326702.525,Result Declared
Bathinda,18.94118727,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,GURMEET SINGH KHUDIAN,Aam Aadmi Party,327226.5965,Result Declared
Beed,18.94261559,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,327750.6679,Result Declared
Begusarai,18.94404391,GIRIRAJ SINGH,Bharatiya Janata Party,ABDHESH KUMAR ROY,Communist Party of India,328274.7394,Result Declared
Belgaum,18.94547223,JAGADISH SHETTAR,Bharatiya Janata Party,MRINAL R HEBBALKAR,Indian National Congress,328798.8109,Result Declared
Bellary,18.94690055,E. TUKARAM,Indian National Congress,B. SREERAMULU,Bharatiya Janata Party,329322.8823,Result Declared
Berhampur,18.94832887,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,BHRUGU BAXIPATRA,Biju Janata Dal,329846.9538,Result Declared
Bhadohi,18.94975719,DR. VINOD KUMAR BIND,Bharatiya Janata Party,LALITESHPATI TRIPATHI,All India Trinamool Congress,330371.0252,Result Declared
Bhadrak,18.9511855,AVIMANYU SETHI,Bharatiya Janata Party,MANJULATA MANDAL,Biju Janata Dal,330895.0967,Result Declared
Bhagalpur,18.95261382,AJAY KUMAR MANDAL,Janata Dal (United),AJEET SHARMA,Indian National Congress,331419.1681,Result Declared
Bhandara Gondiya,18.95404214,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,SUNIL BABURAO MENDHE,Bharatiya Janata Party,331943.2396,Result Declared
Bharuch,18.95547046,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,332467.311,Result Declared
Bhavnagar,18.95689878,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,332991.3825,Result Declared
Bhiwandi,18.9583271,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,333515.4539,Result Declared
Bhongir,18.95975542,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,334039.5254,Result Declared
Bhubaneswar,18.96118374,APARAJITA SARANGI,Bharatiya Janata Party,MANMATH KUMAR ROUTRAY,Biju Janata Dal,334563.5969,Result Declared
Bidar,18.96261206,SAGAR ESHWAR KHANDRE,Indian National Congress,BHAGWANTH KHUBA,Bharatiya Janata Party,335087.6683,Result Declared
Bijapur,18.96404037,RAMESH JIGAJINAGI,Bharatiya Janata Party,RAJU ALAGUR.,Indian National Congress,335611.7398,Result Declared
Bijnor,18.96546869,CHANDAN CHAUHAN,Rashtriya Lok Dal,DEEPAK,Samajwadi Party,336135.8112,Result Declared
Birbhum,18.96689701,SATABDI ROY,All India Trinamool Congress,DEBTANU BHATTACHARYA,Bharatiya Janata Party,336659.8827,Result Declared
Bishnupur,18.96832533,KHAN SAUMITRA,Bharatiya Janata Party,SUJATA MONDAL,All India Trinamool Congress,337183.9541,Result Declared
Bolangir,18.96975365,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,SURENDRA SINGH BHOI,Biju Janata Dal,337708.0256,Result Declared
Bolpur,18.97118197,ASIT KUMAR MAL,All India Trinamool Congress,PIYA SAHA,Bharatiya Janata Party,338232.097,Result Declared
Bulandshahr,18.97261029,DR BHOLA SINGH,Bharatiya Janata Party,SHIVRAM,Indian National Congress,338756.1685,Result Declared
Buldhana,18.97403861,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),339280.2399,Result Declared
Buxar,18.97546692,SUDHAKAR SINGH,Rashtriya Janata Dal,MITHILESH TIWARI,Bharatiya Janata Party,339804.3114,Result Declared
CHENNAI CENTRAL,18.97689524,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,VINOJ,Bharatiya Janata Party,340328.3828,Result Declared
CHENNAI NORTH,18.97832356,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,340852.4543,Result Declared
CHENNAI SOUTH,18.97975188,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,341376.5258,Result Declared
CHHINDWARA,18.9811802,BUNTY VIVEK SAHU,Bharatiya Janata Party,NAKUL KAMALNATH,Indian National Congress,341900.5972,Result Declared
CHIDAMBARAM,18.98260852,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katch,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,342424.6687,Result Declared
CHITTORGARH,18.98403684,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,ANJANA UDAILAL,Indian National Congress,342948.7401,Result Declared
CHURU,18.98546516,RAHUL KASWAN,Indian National Congress,DEVENDRA JHAJHARIA,Bharatiya Janata Party,343472.8116,Result Declared
COIMBATORE,18.98689347,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,ANNAMALAI K,Bharatiya Janata Party,343996.883,Result Declared
CUDDALORE,18.98832179,M.K. VISHNUPRASAD,Indian National Congress,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,344520.9545,Result Declared
Chalakudy,18.98975011,BENNY BEHANAN,Indian National Congress,PROF C RAVEENDRANATH,Communist Party of India (Marxist),345045.0259,Result Declared
Chamarajanagar,18.99117843,SUNIL BOSE,Indian National Congress,BALARAJ.S,Bharatiya Janata Party,345569.0974,Result Declared
Chandauli,18.99260675,BIRENDRA SINGH,Samajwadi Party,DR. MAHENDRA NATH PANDEY,Bharatiya Janata Party,346093.1688,Result Declared
Chandigarh,18.99403507,MANISH TEWARI,Indian National Congress,SANJAY TANDON,Bharatiya Janata Party,346617.2403,Result Declared
Chandni Chowk,18.99546339,PRAVEEN KHANDELWAL,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,347141.3117,Result Declared
Chandrapur,18.99689171,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,347665.3832,Result Declared
Chatra,18.99832003,KALI CHARAN SINGH,Bharatiya Janata Party,KRISHNA NAND TRIPATHI,Indian National Congress,348189.4547,Result Declared
Chevella,18.99974834,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,DR GADDAM RANJITH REDDY,Indian National Congress,348713.5261,Result Declared
Chhota Udaipur,19.00117666,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,349237.5976,Result Declared
Chikkballapur,19.00260498,DR.K.SUDHAKAR,Bharatiya Janata Party,M.S. RAKSHA RAMAIAH,Indian National Congress,349761.669,Result Declared
Chikkodi,19.0040333,PRIYANKA SATISH JARKIHOLI,Indian National Congress,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,350285.7405,Result Declared
