Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Ananthapur,19.09116075,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,382254.0992,Result Declared
Andaman & Nicobar Islands,19.09258907,BISHNU PADA RAY,Bharatiya Janata Party,KULDEEP RAI SHARMA,Indian National Congress,382778.1706,Result Declared
Aonla,19.09401738,NEERAJ MAURYA,Samajwadi Party,DHARMENDRA KASHYAP,Bharatiya Janata Party,383302.2421,Result Declared
Araku (ST),19.0954457,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,383826.3135,Result Declared
Arambagh,19.09687402,BAG MITALI,All India Trinamool Congress,ARUP KANTI DIGAR,Bharatiya Janata Party,384350.385,Result Declared
Araria,19.09830234,PRADEEP KUMAR SINGH,Bharatiya Janata Party,SHAHNAWAZ,Rashtriya Janata Dal,384874.4564,Result Declared
Arrah,19.09973066,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),R. K. SINGH,Bharatiya Janata Party,385398.5279,Result Declared
Arunachal East,19.10115898,TAPIR GAO,Bharatiya Janata Party,BOSIRAM SIRAM,Indian National Congress,385922.5993,Result Declared
Arunachal West,19.1025873,KIREN RIJIJU,Bharatiya Janata Party,NABAM TUKI,Indian National Congress,386446.6708,Result Declared
Asansol,19.10401562,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,386970.7423,Result Declared
Aska,19.10544394,ANITA SUBHADARSHINI,Bharatiya Janata Party,RANJITA SAHU,Biju Janata Dal,387494.8137,Result Declared
Attingal,19.10687225,ADV ADOOR PRAKASH,Indian National Congress,V JOY,Communist Party of India (Marxist),388018.8852,Result Declared
Aurangabad,19.10830057,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,388542.9566,Result Declared
Aurangabad,19.10972889,ABHAY KUMAR SINHA,Rashtriya Janata Dal,SUSHIL KUMAR SINGH,Bharatiya Janata Party,389067.0281,Result Declared
Azamgarh,19.11115721,DHARMENDRA YADAV,Samajwadi Party,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,389591.0995,Result Declared
BALAGHAT,19.11258553,BHARTI PARDHI,Bharatiya Janata Party,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,390115.171,Result Declared
BANSWARA,19.11401385,RAJ KUMAR ROAT,Bharat Adivasi Party,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,390639.2424,Result Declared
BARAMULLA,19.11544217,ABDUL RASHID SHEIKH,Independent,OMAR ABDULLAH,Jammu & Kashmir National Conference,391163.3139,Result Declared
BARMER,19.11687049,UMMEDA RAM BENIWAL,Indian National Congress,RAVINDRA SINGH BHATI,Independent,391687.3853,Result Declared
